"case_no","patents"
"6:15-cv-00547",""
"337-TA-1353","5826034"
"2:17-cv-03194","5729665|7274479|7333233|6381028|5937153"
"1:12-cv-10669","8540159"
"6:23-cv-00424","D456441|D659180|D523461|D581443|D462375|D616919|D469458|5638145|D446803"
"2:15-cv-00279","6310864"
"1:20-cv-02540","5379421"
"3:21-cv-00301","6098882|6820807|6176427|8281999"
"22-1586","8912603"
"0:22-cv-00476","8329238"
"17-1229","8099420|6928442|7945544|7802310"
"20-1147","9916782|9349306"
"4:20-cv-02536","8327442|11171974|9503470|9438614"
"3:20-cv-00839","7759394|8097651|8927604|9827197"
"1:17-cv-00217","9664340|9065022|8240881|7489068|10224455"
"2:19-cv-08405","6673838"
"6:16-cv-01382","6029796"
"1:21-cv-01386","7729528"
"6:12-cv-00685","9799858|9799913|9496581|9153835"
"337-TA-1162","8288952|7781980|8035623|7772781|7329970|7265494|7498749|7994726"
"5:11-cv-00464","8424752|8651369|8936190"
"2:15-cv-00168","9303809|7154039"
"6:15-cv-00060","7316766|7514040"
"3:18-cv-01842","8449289"
"4:11-cv-05587","D609042"
"6:16-cv-00921","6856459|6847479|7339714|6882771|6940647|7116862|6888661"
"337-TA-1239","10912708"
"1:15-cv-00869","9054860"
"1:12-cv-12113",""
"2:21-cv-00054","D650723|D657719|D661622"
"1:13-cv-02013","6760752"
"1:18-cv-00279","7064197|6992180"
"2:15-cv-01575","8806247|8566627|7100061|7596708"
"3:16-cv-00936","8497256|7625884|7452872|6197341"
"2:15-cv-01337","6585516"
"1:11-cv-03203","10555968|8455531|9180140"
"1:11-cv-00539","9054860"
"1:10-cv-00198","7197297"
"1:14-cv-00816","9757661"
"2:22-cv-00424","6780419"
"1:21-cv-00378","7346583|6567793|5982892"
"5:11-cv-04537","7406663|7500201"
"2021-1629","RE46459"
"6:23-cv-00630","8205232"
"1:16-cv-00528","D651355"
"3:11-cv-02709","7503502|6298332|7703686"
"2:16-cv-05007","8947164|6603343"
"1:20-cv-02871","7614402"
"2:14-cv-01286","7387274|6871815|7017856"
"1:13-cv-00407","8284839|9538177|8494058|8736529|8259818"
"2020-2218","7162115|6498872"
"4:22-cv-00611","9154356"
"1:13-cv-06081","6467914"
"1:17-cv-00087","7931148"
"1:10-cv-00179","8619115|9313456"
"6:13-cv-00463","5638427"
"1:16-cv-00391","7429572"
"1:15-cv-01748","D668660"
"1:13-cv-01253","9746826|9874846|9836021|9841727|9869960|9841728|9857765"
"2019-2191","9113558"
"2013-1147","5440749|5530890|5809336"
"1:21-cv-00256","9661909"
"3:15-cv-08919","8738435|8352317|5987434|7890366"
"2014-1333","7784554"
"3:13-cv-01409","6997882"
"1:12-cv-00809","9381668"
"2022-1920","5961900"
"2022-1609","6780081"
"3:20-cv-07051","6477961|6386115|6606953"
"2018-1464","5251294"
"1:15-cv-09325","6042376"
"2:13-cv-08369","5206854|5828657|5812537|6970501|5251328|7894472"
"2:16-cv-00658","5712979"
"0:16-cv-00926","7708001"
"6:20-cv-00533","7035914|6021433"
"8:22-cv-01823","6490443"
"1:16-cv-01314","6379032"
"8:11-cv-01324","6788882"
"5:18-cv-00160","7808483"
"3:14-cv-00237","10144243"
"3:14-cv-02281","6975308"
"1:23-cv-00574","7387711|7374641|8080137|7501044"
"9:15-cv-80215","8781307"
"2016-1199","5952918"
"6:10-cv-00231","4744992|4894242"
"2014-1492","5019431|5215793"
"2:22-cv-00387","6738799|6631449|6925481|7032089|6918014|7254621|7065637|5495607|6963908|7596784"
"5:21-cv-07477","5995102|6118449"
"8:15-cv-01982","5530841|5748488|6836420|5680318"
"2016-2006","6351736"
"1:22-cv-00675","7054830"
"1:17-cv-05273","7249037|5926792"
"1:13-cv-01868",""
"2:17-cv-05980","5506866"
"2:13-cv-00178","5259480|5175156|6146732|6020040|D572367|D493484|6336935|D237253|D571015|5165641|6123717|5164732|D290092|D372429|D572826|5192594|D572825|D340773|D335823|D571922|5918590|5196846|D310884|D447119|D502219|D419455|D443250|D300606|D574277"
"2:16-cv-00047","7947739|8022106|8273795"
"2016-2608","7398005|6487528"
"337-TA-881","7778966"
"2020-2066","RE38115|7659282"
"2:12-cv-02488","6687745|7502838"
"3:16-cv-01837","7030781|6411891|6952645|7400970|6714859|6317060|6904359|6748320|6486801"
"5:13-cv-04204","6952645|6714859|6804606|6904359|7191058|6741927"
"5:17-cv-01399","5535320"
"1:12-cv-00427","7035647|7203752|7024205|6944760|6895240|7463151|6654786|6292657|6684087|6662016"
"1:14-cv-01192",""
"1:23-cv-00380","6442261"
"4:22-cv-04943","8399514"
"6:11-cv-00580","D586160"
"1:22-cv-00955","RE44652"
"6:14-cv-00086","D532095"
"2:16-cv-01833","11063766"
"1:15-cv-04466","6785903|7487533|7761893|7984469"
"3:12-cv-00853","D866941"
"5:10-cv-00144","6345095|7590097"
"4:10-cv-00154","9649203|9216096"
"22-1244","5491774|5742737|5839108|5842170"
"1:20-cv-00414","6255084|7060468"
"6:20-cv-00309","8402920"
"5:16-cv-02252","1212516|3976890|3976891|4838187|6328939|3976889|3976892|4665638|4944105|5913277|5333561|5027726|5316385|5967068|6631688|3960095|6792884"
"6:20-cv-00576","7168842|7226801|7586121"
"1:20-cv-00529","8451237|8102286|8502547"
"1:21-cv-08815","6187791|7135571|6399632|6037353"
"6:12-cv-00080","6585516"
"0:13-cv-03579","4631603|4987486|4991011|5003384|4924498|4577216|4819098|4692919|4498169|4922456"
"1:22-cv-01085","7383232"
"4:10-cv-00667","7369058|8330613"
"1:13-cv-01949","9808314|9498641|9044595"
"2:13-cv-01005","6240328"
"5:12-cv-00077","8712846|8396743"
"1:14-cv-00216",""
"3:22-cv-01938","6476484"
"3:13-cv-03397",""
"6:20-cv-00843","6091940"
"1:19-cv-00607","5763483"
"6:14-cv-00190","8863752"
"8:15-cv-00589","6952413"
"2:10-cv-06572","6920723"
"1:20-cv-01757","6425349"
"1:12-cv-00617","7155439|7096223|7043486|7669133|7293029|7991680"
"2020-1970","6748320|6952645|7400970|6904359"
