"case_no","patents"
"2016-1968","6869812|7901109|8567988|7973465"
"1:18-cv-00268","8148098"
"1:21-cv-03440","6819539"
"1:21-cv-00160","5881142"
"2020-1293","7231626"
"1:20-cv-03602","5822221"
"2:17-cv-00942","8370106"
"2022-2173","7231379"
"2014-1836","7013138|7916747|6374311|5940771|7535921|7873343|6665536|6714559|5844893|6697415|7548553|7710907|7536167|5740366|5546397|7457646|7386002"
"4:23-cv-00720","7394423"
"1:12-cv-00297","5241497|5812461"
"2013-1269","646856818|6856818|7933564|6212662"
"8:11-cv-00329","5796183"
"6:15-cv-00191","7011014"
"1:12-cv-02994","D628652"
"6:21-cv-01308","8292850|8142413|8048032"
"4:21-cv-00666","D955399"
"1:20-cv-04996","10256770|8933321"
"337-TA-1374","9675430"
"2:17-cv-00581","8642012|8404215"
"2:23-cv-00579","5655095"
"6:21-cv-01191","8047729"
"1:13-cv-00699","D577150|7905236|7753055"
"23-1398","6351799|5394116|6606414|7061904"
"2:16-cv-00516","4671005"
"6:12-cv-00406","6054336|6232231|6849946|6825554|6566167"
"1:13-cv-00688","6952413"
"1:13-cv-07551","6776678"
"1:12-cv-00958","10413472|7652436|7303300|7722553"
"2017-2482","6542078|6828909"
"6:15-cv-00380","7356677|6690400"
"5:11-cv-04896","7304635"
"2022-1606","6992180|8097405"
"1:13-cv-03312","7077610"
"2:15-cv-00805","7319414|7538691|7504966|8711010|8362927|7479901|8531317|7064681|8368562|8284076|8564459|7482952|8242935|7561069|7528742|7113110|7479900|8068037|7876239|7479899|8232899|7119716"
"1:14-cv-00231","RE44199"
"6:15-cv-00545","6999331|RE45259|6744653"
"13-477","8271974"
"23-1300","5822221"
"3:20-cv-01824","6200216"
"1:12-cv-01980","8167141"
"6:16-cv-00991","RE43539|9379233|7697369"
"1:20-cv-05537","6952645|7400970|6904359"
"2:16-cv-00915","7269854"
"2022-2252","6619555|7185825|6789739|7156318|6581846|7232075"
"2:13-cv-03496","7237634"
"2013-1392",""
"6:14-cv-00424","7809866"
"2:15-cv-01448","7589106|7687516"
"1:18-cv-01465","RE38551"
"6:16-cv-01233","8626818"
"1:16-cv-00114","6233682"
"2:17-cv-03295","7270179|5394942"
"3:10-cv-06699","7106705|6651207|8843641"
"2:16-cv-01385","6782211"
"1:20-cv-01061","8712846|8396743"
"2:13-cv-01140","7239338"
"4:23-cv-01111","8763907|7963446|8733657"
"2:12-cv-08410","6341265|7194416|6343271"
"4:18-cv-00672","D598804"
"1:16-cv-01225","7594168|9471287|6546397|9063755|9928044"
"1:13-cv-01396","RE42219"
"6:21-cv-01214","7441699"
"2:22-cv-04648","6072825|6212374"
"1:17-cv-00054","5909492|5715314"
"1:21-cv-01032","8320820"
"6:10-cv-00094","D626686|D610732"
"6:22-cv-00719","5625465|5369508|6094505|5768416|5258855"
"1:12-cv-00475","5778237|5796978|6629207|6092172|6047354"
"5:16-cv-01216","8269040|6673838"
"5:16-cv-00121","6163557"
"3:18-cv-02770","9901539|9655843|8147866|78147866|7579019"
"1:12-cv-07582","7548779"
"2:15-cv-00712","8740695|8454432"
"4:17-cv-02656","RE44652"
"6:22-cv-00605","D612646"
"2:12-cv-08837","4673568|5114429|5279620|5137538|4875902"
"2020-1612","5800311"
"6:21-cv-00787","11672803"
"1:23-cv-04237","8023647"
"5:14-cv-01170","8102286|10088960|8946574|8451237|8502547|7821502|9086770"
"1:13-cv-00768","6087383|5849911"
"2:15-cv-02138","8424119|8453270|D657093"
"2:12-cv-00781","6848072"
"4:10-cv-01041","6349340"
"0:15-cv-02554","6193886|6200471|5609759|D631285|D631286|6136189|D621660|6569329"
"3:22-cv-00623","5999947|6321236"
"1:16-cv-00565","9936086"
"1:13-cv-00442","8469225"
"22-246","7880236|6797572|6583012|7009226|9373548"
"1:14-cv-00139","7231626"
"1:15-cv-00351","8056169"
"6:22-cv-00456","8108492|8037158|5987500"
"1:17-cv-04514","D552077"
"2019-1365","5874471|6028107"
"2:22-cv-08575","6785606|6466862"
"2:16-cv-00621","6384850|6871325"
"3:16-cv-05993",""
"1:15-cv-00518",""
"6:20-cv-01113","6289348"
"6:21-cv-01023","6836654"
"2:17-cv-00527","6398646|6656045"
"1:10-cv-01072","9674132"
"3:23-cv-00653","9758716|9120966"
"3:16-cv-03340","7079752|8195828"
"23-1918","8881447"
"1:10-cv-01229","10030461|10309180|9879496"
"1:15-cv-05212","9325740|10033839|8856779|9591104|8056075|8694683|10027780|9270790"
"3:18-cv-05713","5800808"
"1:11-cv-00733","6941543|6513058|8073557|6516236|8027349"
"2019-1773","8540159"
"2015-1263","9369081|8860337|9941830"
"6:22-cv-00310","5673464"
"1:17-cv-00715","D482524"
"1:15-cv-00181","6936851"
"6:22-cv-00114","5850482"
"8:19-cv-01177","9369575|9173154|8861512|9591551"
"6:13-cv-00942","8437797"
"2:14-cv-00448","6088717|5862325|6757710"
"3:19-cv-06124","8984565"
"6:22-cv-01041","6081835|6334132"
"3:14-cv-04854",""
"1:12-cv-00108",""
"6:22-cv-00346","7324710|9648795|7109510|9032611"
"6:15-cv-00020","8819505|8312301|9075605|7928763|9250908|9436631|8686549|8471593|9552047|8301872|9170812|9037807"
"1:12-cv-00502",""
"5:15-cv-05480","8296338|8484260"
"6:21-cv-00084","7772209"
"2:11-cv-00365","7356677|6690400"
"6:18-cv-00381","7072947|7076533"
"1:10-cv-00035","6519290|7098850|6973133|7193563|7411552"
"1:23-cv-15984","8424752|8651369|8936190|7992773"
"4:23-cv-00956","8260806|7016875|7257581"
"5:10-cv-04578","8280932|7840619"
"2:23-cv-22112","6170664"
"2:21-cv-00014","6128454|5903803"
"8:22-cv-02206","7548970"
"2:17-cv-00635","6799246|5581498"
"1:20-cv-00588","4955825|4088293|4715161|4429440|4757176|4723749|4757967"
"6:14-cv-00598","5331637"
"2:16-cv-01282","7024696"
"23-2036","7604929"
"1:16-cv-01495","D437948|D439683|D439348"
"2:11-cv-04415","RE40041"
"23-2063","8008516|8008517|8283484|8168037|7601858"
"1:14-cv-00532","10753627"
"2:15-cv-01381","6651063|7398298|7209959|8370457|7139780|8156499"
"6:21-cv-00081","D572745|D659180"
"1:21-cv-00940","6854067"
"1:12-cv-23843","5826245"
"2:13-cv-01163","5817364"
"1:21-cv-00312","7827581|9344183"
"4:10-cv-02567","9917856"
"2:22-cv-00228","7827581|9344183"
"2:12-cv-00119","5572576"
"2:10-cv-06493","6928433"
"6:19-cv-00716","5592555|5608873|5771394|5502689|5530597"
"5:19-cv-02463","9693979|9693978"
"1:23-cv-01019","5893071"
"5:15-cv-05319","6379032"
"23-1578","8504834|9424400|10447667"
"2017-1764","7941357"
"1:22-cv-00065","7657386"
"1:11-cv-00816","8523921|11026728"
"3:11-cv-00600","6972790|8537242"
"2:15-cv-00569","6451226|6786598"
"1:19-cv-00196","10261739|10303411"
"3:11-cv-02998","7402536|9061482"
"2021-1619","6795918"
"1:17-cv-00660","7088855|7324689|6972774|8073250"
"4:18-cv-07229","9456086|7023979|10491748|7269253|10237420"
"1:14-cv-00640","8295862"
"9:22-cv-80333",""
"2022-1489","7986207|7263761|6460244|7034645|7345562|7921546|6946944|7221249|6204744"
"1:21-cv-20765","6039641|7124753|6679243|6193770|6286498"
"2:11-cv-08164","6330549"
"1:19-cv-01876","6972790|8537242"
"3:18-cv-00214","6000163"
"2017-2191","8865937|RE43879|8481598"
"1:14-cv-06190","8788090"
"2:12-cv-00108","9300723"
"4:14-cv-00226","5667775"
"1:19-cv-11868","10165764"
"2013-1561","5093731|6144763|5850487|7327886"
"6:21-cv-00801","6641477|6585516"
"1:21-cv-22500","D767124|D765837|D630732|10688295"
"1:20-cv-04108","9092428"
"2:12-cv-07599","8323070"
"6:15-cv-00768","6860437"
"4:16-cv-00853","6952645|7400970|6904359"
"3:15-cv-02431","6351736"
"2021-1382","7837355|8534869|8696166|8070319"
"2:10-cv-00231","5781024|5770158"
"5:23-cv-01801","9586186|10080998"
"2:21-cv-07821","5607454|6047212|6304783|5749905|5800460|5721482|5879374|5330526|5391187|5836978|6178357|5803927|6871093|5735879|5773961|6356785|6441582"
"2:14-cv-01295","8971171|8351798|8406637|8380068|7860403"
"6:16-cv-00195","6947477|7099383|7230931"
"3:21-cv-01177","8488624"
"2:11-cv-01127","5536249|5925021|5957895"
"6:19-cv-00344","6191607"
"2:20-cv-00248","8930719|5745569"
"22-1165","7092509"
"3:11-cv-00035","5999091"
"2014-1595","7699045"
"23-1009","8094573"
"1:19-cv-06436","9022076"
"2018-1277","D815452|D875415|D917911|D880180|D813573|D821768|D836823|D836822|D899830"
"0:18-cv-60602","7621236"
"2:13-cv-00175","D909088|5359863"
"8:15-cv-00089","6452515"
"1:18-cv-00653","6931382|7107078|6917902"
"1:21-cv-02431","D846259|D943897|D885018|8745893|D846845|D686812|D844951|D846849|D681927|D688855|D903279|D886435|D943252|D888380|9398786"
"1:19-cv-00766","5944839|6631449|6925481|7254621|7065637|5825891|7272708|6738799|5495607"
"4:10-cv-01747","8545916"
"3:17-cv-00146","8439191"
"6:14-cv-00632","8671624|8015754"
"3:10-cv-00127","D626953|7684838"
"1:21-cv-01347","7547073|7213885|7419220"
"2:11-cv-03845","6839731|8239481"
"21-2244","7149989|7260803"
"2016-1963","8955038|8127356|8990948|7673137|9092616|6842796|8327441|9923918|8850517"
"2:16-cv-01294","6115690|6343275"
"2:23-cv-02288","7196611"
"1:10-cv-05341","6975864|6633761|7197308"
"2:10-cv-00029","11313155|10704299"
"2:15-cv-04802","5351296"
"6:13-cv-00442",""
"4:22-cv-01008","6434212"
"2019-2246","7030781|6952645|7400970|6714859|6904359|6486801"
"2011-1104","5900993|7277562|6483932|7203344"
"1:17-cv-00644","11336597|11240183|11349787"
"1:12-cv-00147","8178773|7858870"
"3:11-cv-06609","10129695|9219978|8760286"
"0:13-cv-00951","D842536|D858868|D858869|D858870"
"6:12-cv-00230","10245293"
"1:17-cv-04022","5388198"
"1:18-cv-02584","7424763|8918935|7036173"
"1:18-cv-00054","5974550|5991399"
"5:12-cv-03870","6711204"
"2:23-cv-02367","6952405"
"1:19-cv-00111",""
"2:21-cv-09011","10154055|10075466|9100431|10547631|9118711"
"3:14-cv-00356","9454741|9805323|8583514"
"1:23-cv-00458","7188145|7730262"
"6:23-cv-00165","D352904|5024262"
"4:21-cv-03211","8856221"
"1:10-cv-00428","6839731|8239481"
"5:12-cv-04933","5949880|5805702|6105013|5940510|6237095"
"1:17-cv-00562","5664110"
"2:13-cv-00515","RE42997"
"1:11-cv-00127","6569095|7941207|7587237|7212850|7907996"
"337-TA-1308","RE42219"
"2:14-cv-01536","5682526|5715451"
"6:10-cv-00586","7778739|8006117|6778073|8020028|8006118|6615137|6629033|7146260|7793136|6771208|8027268|8006119"
"6:21-cv-00040","6594366|5870610|6691302|7454201"
"2:12-cv-00016","7062036"
"2:19-cv-08418","RE39071|6852689|8058238|6468967"
"2020-1204","7837410"
"3:16-cv-01012","7594168|9471287|6546397|9063755|9928044"
"1:13-cv-00403","9095372"
"1:17-cv-07153","9598915|9291009|9057224"
"1:12-cv-00780","9369575|9173154|8861512|9591551"
"1:13-cv-00326","7707591"
"3:12-cv-01062","5999927"
"2:16-cv-00097",""
"6:20-cv-01057","8575149|7977329|8546379|9169213|7514422|6953787|8207158|8273734|8999970"
"2:18-cv-00244","7649081|8003338|7411048|8304197|8017737|7998691|7320894"
"5:10-cv-01908","6665797"
"1:16-cv-00153","6943677|6720871"
"2:15-cv-00107","9219978|9781558"
"1:13-cv-01212","8156944"
"2015-1923","10728220|5846651|8343292|6120395|10214664|6180228|8088480|8883290|214664|10738220|5786028"
"2018-1866","8414921|7326708"
"1:23-cv-00281","6785606"
"337-TA-924","8099614|7685439"
"1:16-cv-02167","D672183|8646134|8887332|9015883"
"5:18-cv-01320","8122004|6697811|7739714|7133922"
"2011-1819","7831690"
"3:14-cv-01436",""
"6:12-cv-00150","5870765|5999947|5634052|6321236|5758355"
"2015-1751","8724643|7486667"
"2018-1030","D930702"
"1:12-cv-08288","8134917|6845389|5471474|5583862|6130893|5761197|6901048|6128649|7154879|5959990|6192397|8464299|RE40999|6321253"
"2:13-cv-00615","7881529"
"2:11-cv-10692","7400970|6904359|6975998|7030781"
"2:16-cv-00460",""
"2:15-cv-00362","7739983|7568449|8230816"
"1:22-cv-00586","6645948"
"23-2117","8843549"
"1:13-cv-00685","D958465|D955550"
"6:15-cv-01543","9855453"
"5:11-cv-00038","9749829|9467838|9445251|9820123|8213970"
"1:12-cv-00880","D55678"
"6:22-cv-00244","11399535"
"1:18-cv-00136","5642379|5506866"
"1:20-cv-00185","8820276|6883492|8776738|6474277|5829397|7059282"
"2:17-cv-05023","9054860"
"2:16-cv-00169","6112396"
"1:18-cv-10679","9646182|9996717|7557711|10482293"
"1:13-cv-00353","8792874"
"2:20-cv-00148","5826026|6216156"
"6:11-cv-00573","6354304"
"2:13-cv-05196","7397318"
"1:17-cv-00875","10676929|10763777"
"2:19-cv-20383","5999927"
"1:14-cv-00149","7889722"
"337-TA-806","6442485"
"6:18-cv-00321","7454002"
"2:14-cv-01800","6722637"
"1:22-cv-00740","6612985"
"6:13-cv-00826","9497570|9838066"
"1:10-cv-04151","6684086"
"3:17-cv-05302","5530890|5440749|5809336"
"1:14-cv-00313",""
"1:13-cv-01046","8068827|6400696|6879808|7219132|8107875|7773942|8010043"
"1:10-cv-01834",""
"1:13-cv-00474","6239704"
"6:23-cv-00418","6703963"
"6:19-cv-00135","6041953"
"2013-1249","6262013"
"1:21-cv-01361","5524637"
"6:10-cv-00223","9454777|8680992"
"2:21-cv-00624","5854290|6811794|6287599"
"2:18-cv-10393","7831690|7783721"
"1:13-cv-01735","9282090"
"2015-1665","D531168"
"2:17-cv-00568","6794410|9186346"
"1:19-cv-00194","6666287"
"2019-1918","9713371|10357094"
"2018-2349","6115817"
"1:14-cv-00534","7383204|6321984|6332128"
"2:10-cv-05370","8832692|9020801|8544004"
"2020-2158","6167426|8489707"
"2022-1356","6016635|6033146"
"1:21-cv-00053","6819539"
"2:13-cv-06518","6642554"
"8:17-cv-01152","6226412"
"1:14-cv-00555",""
"2:18-cv-00865","6848072"
"1:19-cv-11604","6782211"
"2016-2094","6677082|6680143"
"4:19-cv-00772","D863824|D908392"
"6:13-cv-00752","7719981"
"1:14-cv-22030","D617334|7200792|D622270|D604305|7863533|7853891|7663607|7698711|7469381|7069055|7864163|7577460|7812828|7079871|D602016|7669134|D618677|7050410|7844915|7920129|7456893|7675941|D593087|D504889|7362867|7447516|7386001|6928604|6493002|D627790"
"1:12-cv-00694","7454430"
"1:14-cv-00035","7464496"
"2015-1355","7853881"
"2:12-cv-02278",""
"1:17-cv-01153","5371734"
"1:22-cv-06661","6718285|6799005|6203005|6554269|6509974|6411314|7502582|7720425|8019255"
"2018-1655","8013734"
"2014-1832","8595717|8296757|9043482|9116723|8533352"
"1:12-cv-02814","6328260"
"1:13-cv-02068","6701365|6513066"
"3:12-cv-02020","7454002"
"6:13-cv-00911","7356606"
"4:20-cv-02921","8285648"
"1:10-cv-01100","5506866"
"2:23-cv-00068","8970710"
"1:16-cv-01005","6397143"
"1:15-cv-00625","9092428"
"1:14-cv-00936","8408899"
"3:22-cv-01154","9141976|8645212"
"1:20-cv-23901","9883903"
"2:13-cv-04463","6106864"
"4:11-cv-06636","6947748|7454212"
"1:22-cv-00554","5762233"
"1:13-cv-00182","5543702"
"22-1124","5616399|5567087"
"2020-1030","6863526|6887071"
"2018-1875","10338286"
"2:22-cv-00359","7998506|6469035|6746691|6676967|6129930|6080428|6818229|7011848|6406715"
"2014-1200","6467541|6209637|6719060"
"2:13-cv-00345","8495167|10726102"
"2:17-cv-00438","5388198"
"2017-2537",""
"0:12-cv-60642",""
"1:16-cv-12246","9693903"
"23-2081","6795918"
"1:17-cv-01799","RE44199"
"1:23-cv-00086","6981222"
"6:13-cv-00871","9358776"
"1:14-cv-06865","4414866"
"1:21-cv-00543","3757103|7067975|D579671|4009947|5592240|6172613|D299491|7012727|6833880|7088490|D290007|4361981|6709114|4733229|D492127|D704938|5668675|5061004|5210967|7559668|7287737|5575552|5997149|7853414|D433573|4922384|4202607|D536881|D405473|D311820|6921174|6567060|7805260|4635994|4003271"
"5:20-cv-00095","7706819|8620364|8055285"
"1:10-cv-00112","6083953"
"1:10-cv-00191","7558807|8296325|7647339|7873665|8065333"
"2:18-cv-00251","9978107|7565344"
"3:17-cv-12374","7088782|7310304|7706458"
"1:12-cv-00607","8346894"
"2018-2111","9258698"
"6:18-cv-00081","9022852"
"1:18-cv-00076","7756129"
"2012-1227","6972790|8537242|6473527"
"3:15-cv-04360",""
"3:23-cv-02270","8455531"
"2012-1434","6115817"
"2:15-cv-00108","8631063|7895257"
"2:23-cv-00268","7079807"
"1:22-cv-01442","RE38551"
"1:17-cv-00271","5788662|6214338|5585007|6342157|6010627"
"1:15-cv-00662","6611349"
"4:14-cv-02166","6952645|6714859|6804606|6904359|7191058"
"1:22-cv-03275","D683688"
"3:11-cv-00677","7657386"
"1:20-cv-00747","6868150"
"1:19-cv-00014","5618045"
"1:13-cv-07184","6603330"
"1:15-cv-13443","6194871"
"1:23-cv-10879","5952935|7439862"
"21-1993","6298332|7703686"
"21-2085","5940510|6105013|5949880|6237095"
"1:12-cv-00344","7437535"
"1:15-cv-00822","8410617"
"2016-1146","7577867|7849361|7516287"
"5:20-cv-06769","5793302"
"2019-1627","6580422"
"1:13-cv-00270","8822438"
"2:12-cv-00303","5513129"
"2020-2196","D542921|7798984"
"2022-1394","7400970"
"2017-1799","6207228"
"6:14-cv-00077","6917304"
"1:16-cv-04826","5920853"
"1:12-cv-01193","10485257|10023604|9243273"
"4:12-cv-03860","9265893|8114833"
"1:12-cv-00468","6526268"
"1:22-cv-01400","6646006|5891459|6117872|7452916"
"2:19-cv-01933","8094520"
"6:12-cv-00976","7456872"
"1:21-cv-01487","7320999|7619001|7803840|6509376|8399514|8759393"
"2:14-cv-00625","8190610|7370011"
"5:14-cv-05368","7302423"
"2:16-cv-05008","7227899|7848328|7590991"
"2019-1814",""
"1:14-cv-00865","6792373"
"2:17-cv-01177","9958107"
"2:18-cv-00184","7406663|7500201"
"2018-2021","6911652"
"2:15-cv-00148","10639521"
"2:22-cv-00065",""
"2:12-cv-01641","7159766|8193792|7325733"
"337-TA-1117","RE43675|7286828|7916648|RE44607"
"2:10-cv-03225","8712723|7881902|7653508"
"2:16-cv-03244","7729530"
"2:12-cv-05456","7719981"
"1:12-cv-00081",""
"6:21-cv-00117","11399535|10765108"
"2:14-cv-00594","4857333"
"2015-1559","5625410|RE43462"
"2:15-cv-00527","5006380|4907321|4829641"
"2021-1804","6575980"
"8:18-cv-00508",""
"1:22-cv-00264","8204437|8437797|8594722"
"2:14-cv-00342","7567622|7154961"
"1:17-cv-00660","RE44633|7352685|7801016|8593931"
"3:18-cv-02103","8618164|8546450|8217078"
"5:18-cv-05596","5908838|7790705|8268804"
"1:17-cv-08150",""
"2:23-cv-00712","7591844"
"2017-1269","6272533"
"3:22-cv-00606","6711012|6237112|8015444|6938104|6734597|6549400"
"2:16-cv-00120","10992254|11689153|10553739"
"23-1459","7662517|7709152|7638241"
"8:17-cv-02226","7194291|10097676|7941195"
"1:23-cv-03402","5412730"
"2:11-cv-04969","9375405"
"8:19-cv-00961",""
"2:18-cv-00423","8843549"
"2014-1692","RE41920|5563175|6197819"
"2021-1581","8069073"
"23-1077","7088854|7254266|8687879"
"6:22-cv-00714","8167256|7942373"
"24-1027","7286158"
"2008-1271","7705056"
"1:13-cv-24004","9173779|9011358|8317728|8114027|8979784"
"1:17-cv-02625","9151084"
"1:10-cv-00661","7428707"
"2017-2380","5633832"
"1:13-cv-06157","7941357"
"4:22-cv-00962","6272533"
"1:19-cv-02813","7879842|7867996|7361649|7361650"
"9:18-cv-81723","5822221"
"1:10-cv-10185","7191058|6904359|6714859"
"6:10-cv-00234","9012469"
"2:10-cv-00357","6187791|6399632|6037353"
"6:21-cv-01157","8655443|8918170|4181325"
"2:11-cv-14201","8162725|7871308|8137159|7115021"
"2:21-cv-13396","8295802"
"3:13-cv-03239","6049835"
"1:20-cv-01801","10264122"
"3:11-cv-00125","8513202|7943582"
"6:15-cv-00946","9978107"
"1:16-cv-00580","10918964|11660547|8926331|9333398"
"6:21-cv-00966","5482637|5239955|5313919"
"2:12-cv-04052","8861698"
"5:11-cv-04224","6892329"
"2:20-cv-00119","9756079"
"6:23-cv-00014","7067944|7683509|7928348|7154200"
"5:17-cv-00002","5247356"
"3:23-cv-05791","7795640"
"1:23-cv-23576","8071092"
"2:12-cv-00188","8684194|9364085|8231015"
"6:20-cv-00097","7249099|7177838|7328189|7376621"
"6:15-cv-00764","6247090|7475180|6639588|6057812|7089342"
"2015-2087","6975222|6556905"
"8:14-cv-01487","9953646"
"2:14-cv-00477","6269275"
"4:17-cv-05034","7598343|7582727"
"5:13-cv-06145","8414473|9011412"
"2:17-cv-00574","7293025"
"6:21-cv-01310","5446747"
"5:21-cv-04008","5987440"
"3:16-cv-00634","8537279|9197766|9179019"
"6:15-cv-00687",""
"2015-1378","6620943|6096329|6881848"
"2:11-cv-00283","7076436"
"5:22-cv-04451","7826990|7840395|7693608|7729808"
"6:21-cv-00651","6266674"
"1:20-cv-00717","8108492|8346894|5987500"
"2:15-cv-09144","9211018|7346950|7246394"
"2018-1826","6537574"
"1:21-cv-00969","6349291"
"2:21-cv-02388","8526767|9207792"
"2:15-cv-00562","8029070|7669939"
"3:17-cv-00632","7117171"
"2:13-cv-00828","7398005|6487528"
"6:22-cv-00229","6353831"
"1:17-cv-10652","7149867"
"2:19-cv-10589","6266674"
"2:14-cv-00177","6951682"
"1:21-cv-05882","7486649|7171194|8989160|7489671"
"23-1718","5388198"
"2021-2107","6816085"
"2019-1224","6773720"
"1:19-cv-24771","11093001|10528199|9420075|9811184|11093000"
"2:14-cv-00719","6917304"
"2:16-cv-00936","6453127|6197466"
"2:10-cv-02004","5877755"
"2018-2357","8888465|8523532"
"2:11-cv-00420","6776327"
"2:23-cv-02557","5965147"
"1:11-cv-00079","7808483"
"2020-1719","7806896"
"5:13-cv-01774","8769747"
"6:13-cv-00766","8295862"
"2022-1653",""
"2:17-cv-00177","10912771|10857137|10906902|10919892|10851103|10874648|10952997|10940141|10844058|10065952|10906903|10857148|10851104"
"1:22-cv-01423","6969113"
"2:23-cv-06904","10972972|11115165|10791502|10743238"
"6:10-cv-00249","8275358|9429659"
"1:14-cv-00922","5283818|5572576"
"3:20-cv-06115","D559502"
"1:21-cv-01220","6683314|7201875|7787197|7129505"
"2:15-cv-01865","8099420|7945544|5978791|6928442|7802310"
"3:21-cv-13247","6115817"
"1:14-cv-08196","7411070|6369085"
"2:14-cv-00499","7171629|7428707"
"2:15-cv-01071","6851015"
"2015-1868","7672998|8271596"
"2:16-cv-00683","7742333"
"0:14-cv-03767","9300657|8964764"
"1:11-cv-00655","7933564|7995091|6856818|6212662|9014667"
"1:19-cv-02940","6566805"
"2:23-cv-02717","6915006|7570798|6915007|7653237|6862365|6072898|7508974|7085411|5574668|7079678|5173796"
"4:13-cv-00104","7851506|6780889|7895059|8263650|6472431|7262219|8324275"
"2:11-at-00570","6816356"
"6:12-cv-00152","8326603|6138087|7349840|5715468|8688436|7873509|6609091"
"21-2299",""
"1:21-cv-01486","6965920"
"6:10-cv-00346","4813056"
"337-TA-1070","4663318"
"4:13-cv-00046","8106183|RE47301|6403567|8524883"
"2:13-cv-00100","11756441"
"1:10-cv-11856","7848701"
"1:13-cv-01494","8784888|7410651"
"3:17-cv-05135","7277572"
"2:13-cv-11514","6958337|5661151"
"3:14-cv-00280","8201840"
"1:14-cv-00206","6031964|RE38911"
"1:21-cv-01130","6943166"
"6:22-cv-01241","5822221"
"1:19-cv-00861","5963642"
"2:15-cv-00006","8133893"
"8:21-cv-00049","D7412105"
"1:23-cv-02750","7068684|6067349|8391298|7123699"
"2018-2359","D660252|D657748"
"2017-1696","6516442|7516177"
"2:17-cv-00632","7918472"
"2:14-cv-00887","9851054|10024501|9311835"
"2:14-cv-00172","11781322"
"1:13-cv-01910","6990629"
"4:13-cv-00777","8528117"
"1:12-cv-00851","7571850|7597251|7699220|7621444|7793830|7600677|7837101|7575158|7617973|7591420|7597248|7802718"
"1:13-cv-01882","7285668|6462058|6939971|7790755|6664276"
"2:13-cv-00741","6126971|5969156|5686104"
"6:16-cv-00937","8205304|D635433"
"2:11-cv-06373","6622018"
"3:10-cv-00401","9840802"
"3:17-cv-01304","6603490"
"2019-1276","8251074|8881745"
"2:14-cv-00222","9303423|9453314|9453316"
"1:10-cv-05241","6239842|7271840"
"3:16-cv-00748","9554879"
"1:10-cv-02750","9730805|8460385"
"4:22-cv-02839","8354437|8007826|8440703|8663685|5540938"
"10-301","RE44199"
"1:13-cv-01669","11003878"
"2:14-cv-01852","6363377"
"2:22-cv-00892","6778074"
"1:13-cv-00142","9369575|9173154|8861512|9591551"
"3:14-cv-04275","10599330|10082954|11227232|9148427|10147049|7373510"
"3:20-cv-06842","9582689"
"5:15-cv-01595","D730612"
"1:21-cv-00344","5535320"
"1:11-cv-01175","9852103|7856520|7154905|7921231|7746798|8680712|9232265|7187307"
"4:17-cv-01819","5781788"
"2:17-cv-08506","D687589|D659278"
"1:19-cv-01177","D704425"
"2:17-cv-01986","6018761"
"1:23-cv-00436","8288269|7535330|7345245|8049340"
"1:13-cv-00890","7203505"
"2:15-cv-01236","8494560"
"1:10-cv-01323","7069607|7137157|6961969"
"2022-1533","7486194"
"4:12-cv-02183","6202150"
"1:21-cv-01222","8156158"
"1:12-cv-01004","9069860|8880497"
"1:12-cv-05152","5865519|7883212"
"1:19-cv-04844","6972790|8537242|6473527"
"2:14-cv-02084","8280334|5864754"
"2:16-cv-00549","8165867|7173177|6721489|6526411"
"2:11-cv-00089","9941729"
"2:19-cv-00325","8204437|8437797|8594722"
"6:11-cv-00401",""
"1:18-cv-00652","6289319"
"1:10-cv-01263","RE45661|5940821|6493703|6412012"
"337-TA-970","6972790|8537242|6473527"
"2016-1905","RE45725"
"1:22-cv-00952","11660175"
"6:14-cv-00818","8426586"
"3:17-cv-00270","6975222|6556905"
"3:22-cv-00854","5474142"
"3:12-cv-00874","9055953|9216025"
"1:23-cv-01560","8068897|10028646|7914442|9913575|10028645|9861268"
"23-2256","7849781|6907811"
"2:23-cv-00273","6819539"
"3:16-cv-07330","6049835"
"5:15-cv-00119","7407120|8316825"
"8:20-cv-00123","7164257|7508167|7999510|7944173|7554290"
"2013-1679","5999091"
"4:18-cv-00847","7916877"
"1:13-cv-01077","6508678"
"6:12-cv-00448","8572571|9940124|9304758"
"1:19-cv-00328","8346894"
"2:17-cv-07106","11096056|9037088|8711408|8184324|9042811"
"2013-1245","8626818"
"5:11-cv-02554","8747116|RE45398"
"1:11-cv-00055","6574239|8291010|8266296"
"2020-2250","8199711|7831271|7554943|7944935"
"1:22-cv-00096",""
"1:13-cv-11831","6219710|6094676"
"2:22-cv-00716","10600101"
"2016-2578","7627926|8220107"
"1:20-cv-01498","9751447"
"3:12-cv-00096","7430471"
"2:18-cv-00432","9800706"
"8:12-cv-00511","7296388|7762028|7631464"
"4:23-cv-00722","8095565|8135755|7546291|7062502|7676493|7685561|8381113|7434170|7251653|8209355|7716168|7401094|7526501|7853961|7546286|7743026|7814093"
"0:12-cv-01148","8953032"
"2:23-cv-02364","8488624"
"3:18-cv-00629","8288952|7781980|8035623|7772781|7329970|7265494|7498749|7994726"
"1:17-cv-01005","8414511|10212987"
"2:11-cv-00497",""
"8:10-cv-01527","9730805|8460385"
"23-1335","5572576"
"2022-2198","10348891"
"3:14-cv-00151","5664769"
"4:15-cv-00098","7816396|7638552"
"2:13-cv-00258","6151493"
"3:10-cv-02665","D561294"
