"imdb.uid","Country","Title","Type","imdb.rating","runtime","Year","Letterboxd.Rating","Letterboxd.Votes"
"tt0070215","France","Il mio nome è Nessuno","movie",7.5,116,1973,"3.57","3098"
"tt0065780","USA","Gimme Shelter","movie",7.9,91,1970,"4.01","6171"
"tt0859765","China","Still Life","movie",7.3,111,2006,"3.87","2804"
"tt0066850","Netherlands","Blue Movie","movie",5.2,88,1969,"3.24","28"
"tt1341167","UK","Four Lions","movie",7.3,97,2010,"3.73","19358"
"tt0046247","USA","The Robe","movie",6.7,135,1953,"3.01","1118"
"tt0183790","USA","A Knight's Tale","movie",6.9,132,2001,"3.31","29191"
"tt0076162","Japan","Hausu","movie",7.4,88,1977,"3.94","28308"
"tt7984734","Canada","The Lighthouse","movie",8,109,2019,"4.16","98858"
"tt0098253","Mexico","Santa Sangre","movie",7.7,123,1989,"3.92","8046"
"tt0167319","Poland","Urzad","short",6.7,5,1995,"4.04","2071"
"tt0086022","Italy","Nostalghia","movie",8.1,125,1983,"4.18","9930"
"tt0052357","USA","Vertigo","movie",8.3,128,1958,"4.23","94005"
"tt6044414","Uganda","Bad Black","movie",7.3,68,2016,"4.01","848"
"tt0125144","Philippines","Himala","movie",7.9,124,1982,"4.13","350"
"tt0050986","Sweden","Smultronstället","movie",8.2,91,1957,"4.23","25924"
"tt0043274","USA","Alice in Wonderland","movie",7.4,75,1951,"3.67","48190"
"tt0097514","France","Histoire(s) du cinéma: Toutes les histoires","tvEpisode",7.1,51,1989,"3.83","513"
"tt0209933","France","Beau travail","movie",7.4,92,1999,"4.04","7145"
"tt0065879","#N/A","Al-ikhtiyar","movie",7.2,NA,1971,"4.07","194"
"tt0087433","China","Huang tu di","movie",7.2,86,1984,"3.64","772"
"tt0116231","Turkey","eskiya (the bandit)","movie",8.3,128,1996,"3.66","1499"
"tt0129794","Italy","an average little man","movie",8,122,1977,"4","452"
"tt0054177","#N/A","Le petit soldat","movie",7.3,88,1963,"3.52","3677"
"tt1225831","Argentina","Historias extraordinarias","movie",8,245,2008,"4.12","774"
"tt0255094","#N/A","Dayereh","movie",7.4,90,2000,"3.77","1285"
"tt0441909","Spain","volver","movie",7.6,121,2006,"3.86","17969"
"tt0887912","USA","The Hurt Locker","movie",7.6,131,2008,"3.7","63828"
"tt2528254","UK","This Is England '90","tvMiniSeries",8.5,220,2015,"4.12","1228"
"tt0094012","USA","Spaceballs","movie",7.1,96,1987,"3.42","43199"
"tt0043567","#N/A","Fröken Julie","movie",7.3,90,1951,"3.54","549"
"tt0054377","France","testament of orpheus","movie",7.4,77,1960,"3.83","1414"
"tt0050919","Brazil","Rio, Zona Norte","movie",7.4,90,1957,"4.17","371"
"tt0102439","Greece","To meteoro vima tou pelargou","movie",7.5,143,1991,"3.94","656"
"tt0066904","France","Le chagrin et la pitié","movie",8.2,251,1969,"4.06","789"
"tt0104503","Spain","In the Soup","movie",7.1,93,1992,"3.48","934"
"tt0067085","Germany","Fata Morgana","movie",6.8,76,1971,"3.39","1804"
"tt0052572","India","the world of apu (apu trilogy 3)","movie",8.5,105,1959,"4.3","4156"
"tt0082912","Brazil","Pixote: A Lei do Mais Fraco","movie",7.9,128,1981,"4.05","2577"
"tt0071315","USA","Chinatown","movie",8.2,130,1974,"4.23","64468"
"tt0068028","Germany","Acht Stunden sind kein Tag","tvMiniSeries",8.4,495,1972,"4.34","538"
"tt0087188","#N/A","E la nave va","movie",7.6,132,1983,"3.65","1151"
"tt2380307","USA","Coco","movie",8.4,105,2017,"4.19","199735"
"tt0814666","France","Bamako","movie",6.8,115,2006,"3.54","496"
"tt0074958","USA","network","movie",8.1,121,1976,"4.16","32548"
"tt0039004","France","La symphonie pastorale","movie",6.9,110,1946,"3.42","91"
"tt5715874","#N/A","The Killing of a Sacred Deer","movie",7.1,121,2017,"3.77","102133"
"tt7768836","USA","America to Me","tvSeries",7.2,600,2018,"4.04","78"
"tt0500092","Japan","Serial Experiments Lain","tvMiniSeries",8.1,316,1998,"4.34","2460"
"tt0758758","USA","Into the Wild","movie",8.1,148,2007,"3.78","77915"
"tt0071587","France","the mouth agape","movie",7.4,82,1974,"3.89","674"
"tt0107895","USA","Public Access","movie",5.2,90,1993,"2.76","145"
"tt2526138","South Korea","Jiseul","movie",6.7,108,2012,"3.57","155"
"tt0139615","#N/A","Slam","movie",7.1,100,1998,"3.42","211"
"tt0058946","Italy","La battaglia di Algeri","movie",8.1,121,1966,"4.24","12376"
"tt0468492","South Korea","Gwoemul","movie",7,120,2006,"3.68","42267"
"tt1727824","UK","Bohemian Rhapsody","movie",8,134,2018,"3.33","190313"
"tt6386748","Colombia","Pájaros de verano","movie",7.6,125,2018,"3.86","7087"
"tt1187044","Chile","La Nana","movie",7.3,95,2009,"3.57","1099"
"tt1130884","USA","Shutter Island","movie",8.1,138,2010,"3.89","182405"
"tt0072919","Poland","The story of sin","movie",6.3,130,1975,"3.47","217"
"tt0066214","UK","Performance","movie",6.9,105,1970,"3.56","4789"
"tt0063633","#N/A","Spalovac mrtvol","movie",8,95,1969,"4.08","3265"
"tt1100048","France","35 Shots of Rum","movie",7.1,100,2008,"3.93","3356"
"tt0100935","USA","Wild at heart","movie",7.2,125,1990,"3.72","27257"
"tt0048261","USA","kiss me deadly","movie",7.6,106,1955,"3.95","7312"
"tt0054953","UK","The Guns of Navarone","movie",7.5,158,1961,"3.63","4103"
"tt0104782","Canada","Léolo","movie",7.5,107,1992,"3.63","1264"
"tt3471822","USA","Back Beyond","video",8.3,20,2013,"3.99","714"
"tt0887883","USA","Burn After Reading","movie",7,96,2008,"3.5","74913"
"tt0082096","Germany","das boot","movie",8.3,149,1981,"4.14","18659"
"tt0051036","USA","Sweet Smell of Success","movie",8.1,96,1957,"4.21","10614"
"tt0456396","Belgium","L'enfant","movie",7.5,95,2005,"3.8","4599"
"tt0099892","#N/A","Joe Versus the Volcano","movie",5.8,102,1990,"3.14","7207"
"tt0043332","Italy","beautiful","movie",7.9,114,1951,"3.79","1098"
"tt1189259","USA","The Pleasure of Being Robbed","movie",6,71,2008,"3.2","2160"
"tt0061512","USA","cool hand luke","movie",8.1,127,1967,"4.07","21037"
"tt0061184","USA","Who's Afraid of Virginia Woolf?","movie",8,131,1966,"4.14","14676"
"tt0039192","UK","black narcissus","movie",8,100,1947,"4.05","10795"
"tt0046998","Italy","French Cancan","movie",7.3,102,1955,"3.9","1430"
"tt0147612","USA","happiness","movie",7.7,134,1998,"3.89","17409"
"tt0053115","Japan","the human condition ii: road to eternity","movie",8.5,181,1959,"4.3","2349"
"tt0181739","USA","Osmosis Jones","movie",6.3,95,2001,"2.76","15354"
"tt0016847","Germany","Faust: Eine deutsche Volkssage","movie",8.1,107,1926,"4.03","5092"
"tt1489887","USA","Booksmart","movie",7.2,102,2019,"3.93","150686"
"tt0317910","USA","The Fog of War: Eleven Lessons from the Life of Robert S. McNamara","movie",8.1,107,2003,"3.95","5827"
"tt0064387","Japan","Goyôkin","movie",7.7,124,1969,"3.79","477"
"tt2385126","Nigeria","'76","movie",7.3,118,2016,NA,NA
"tt0108160","USA","Sleepless in Seattle","movie",6.8,105,1993,"3.31","28264"
"tt6155172","USA","Roma","movie",7.7,135,2018,"4.14","129689"
"tt0060665","UK","A Man for All Seasons","movie",7.7,120,1966,"3.7","4349"
"tt0383028","USA","Synecdoche, New York","movie",7.6,124,2008,"4.11","45445"
"tt0046414","USA","Beat the Devil","movie",6.5,89,1953,"3.15","1836"
"tt8772262","Sweden","Midsommar","movie",7.2,147,2019,"3.84","166378"
"tt0307311","Armenia","Tsvet armyanskoy zemli","short",6.6,16,1969,"3.32","40"
"tt6505126","#N/A","Visions in Meditation","movie",6.9,72,1990,NA,NA
"tt1216496","South Korea","Mother","movie",7.8,129,2009,"4","18856"
"tt1399683","USA","Winter's Bone","movie",7.2,100,2010,"3.55","31669"
"tt0101561","USA","Chameleon Street","movie",7,94,1989,"3.78","311"
"tt0022458","USA","Tabu: A Story of the South Seas","movie",7.5,86,1931,"3.9","2413"
"tt0086935","Serbia","Balkanski spijun","movie",8.9,95,1984,"4.05","376"
"tt0456149","Romania","Moartea domnului Lãzãrescu","movie",7.9,153,2005,"3.9","2599"
"tt10199586","Belgium","Atlantique","movie",6.8,106,2019,"3.56","9893"
"tt2209418","Greece","Before Midnight","movie",7.9,109,2013,"4.12","54956"
"tt0102223","Egypt","Kit Kat","movie",8.2,129,1991,"4.19","444"
"tt8847712","#N/A","The French Dispatch","movie",NA,108,2020,NA,NA
"tt0038762","USA","My Darling Clementine","movie",7.8,97,1946,"3.99","6926"
"tt8343642","USA","Janelle Monáe: Dirty Computer","movie",7.3,49,2018,"4.18","5329"
"tt0057466","Cuba","Salut les Cubains","short",7.4,30,1964,"3.85","1341"
"tt0375679","USA","Crash","movie",7.8,112,2004,"2.99","37484"
"tt11697820","#N/A","Rizi","movie",NA,127,2020,NA,NA
"tt0063611","Sweden","shame","movie",8.1,103,1968,"4.05","4616"
"tt0015864","USA","the gold rush","movie",8.2,95,1925,"4.08","17548"
"tt0200135","#N/A","Sicilia!","movie",7.1,66,1999,"3.82","634"
"tt0048347","USA","The Man with the Golden Arm","movie",7.4,119,1955,"3.55","2500"
"tt0040725","UK","The Red Shoes","movie",8.3,133,1948,"4.3","16603"
"tt0091419","USA","Little Shop of Horrors","movie",7,94,1986,"3.71","24980"
"tt0080120","USA","The Warriors","movie",7.6,92,1979,"3.76","28293"
"tt0268126","USA","Adaptation.","movie",7.7,115,2002,"4","51982"
