"","prejudice_trans","treat_ind","white","hispanic","black","age","female","racename","democrat"
"527",30,0,0,0,1,49,0,"hispanic",0
"528",11,0,0,0,1,42,1,"hispanic",0
"529",50,1,0,1,0,74,0,"white",1
"530",0,0,0,0,1,48,1,"hispanic",0
"531",0,0,0,0,1,76,1,"hispanic",0
"532",50,0,0,0,1,64,1,"hispanic",0
"533",59,0,0,0,1,41,0,"hispanic",0
"534",100,0,1,0,0,43,1,"black",1
"535",100,0,1,0,0,19,1,"black",1
"536",50,0,0,0,1,69,0,"hispanic",1
"537",50,0,0,0,1,69,1,"hispanic",1
"538",50,1,0,1,0,60,0,"white",0
"539",64,1,0,0,1,60,1,"hispanic",0
"540",0,1,0,1,0,69,0,"white",1
"541",0,0,0,0,1,23,1,"hispanic",0
"542",50,0,0,1,0,47,1,"white",0
"543",0,1,0,0,1,53,0,"hispanic",1
"544",0,1,0,0,1,42,0,"hispanic",1
"545",50,1,0,0,1,68,1,"hispanic",1
"546",50,0,0,0,1,25,1,"hispanic",0
"547",50,1,0,1,0,69,1,"white",1
"548",100,1,0,0,1,50,0,"hispanic",0
"549",100,0,0,0,1,51,0,"hispanic",0
"550",100,0,0,1,0,72,0,"white",1
"551",0,0,0,1,0,59,1,"white",0
"552",100,1,0,0,1,69,0,"hispanic",0
"553",50,1,0,0,1,66,1,"hispanic",0
"554",38,0,0,0,1,34,1,"hispanic",1
"555",71,0,0,1,0,69,0,"white",0
"556",50,1,0,0,1,29,0,"hispanic",0
"557",50,1,0,0,1,34,1,"hispanic",0
"558",50,0,0,1,0,42,1,"white",0
"559",50,0,0,1,0,64,1,"white",1
"560",0,1,0,0,1,23,1,"hispanic",0
"561",50,1,0,0,1,56,0,"hispanic",0
"562",0,0,0,0,1,39,1,"hispanic",0
"563",50,0,0,0,1,47,0,"hispanic",1
"564",0,1,0,0,1,54,1,"hispanic",0
"565",50,1,1,0,0,24,1,"black",1
"566",50,1,0,1,0,80,1,"white",1
"567",0,0,0,1,0,39,0,"white",1
"568",16,0,0,1,0,38,0,"white",1
"569",50,1,0,0,1,52,0,"hispanic",1
"570",0,1,0,0,1,50,1,"hispanic",1
"571",84,1,0,1,0,41,0,"white",0
"572",100,1,1,0,0,38,1,"black",1
"573",0,1,0,1,0,43,0,"white",1
"574",23,1,0,1,0,43,1,"white",1
"575",0,1,0,1,0,43,1,"white",1
"576",29,0,0,0,1,30,0,"hispanic",0
"577",50,0,0,0,1,28,1,"hispanic",0
"578",33,1,0,0,1,76,1,"hispanic",0
"579",0,1,0,0,1,54,1,"hispanic",0
"580",50,1,0,0,1,36,0,"hispanic",1
"581",40,1,0,0,1,54,1,"hispanic",0
"582",38,1,0,0,1,21,1,"hispanic",0
"583",50,1,0,0,1,53,1,"hispanic",0
"584",50,0,0,0,1,55,1,"hispanic",1
"585",0,1,0,1,0,61,1,"white",0
"586",0,0,0,1,0,65,1,"white",1
"587",30,1,0,1,0,63,1,"white",0
"588",31,0,0,1,0,21,1,"white",0
"589",50,0,1,0,0,25,0,"black",0
"590",60,0,1,0,0,52,1,"black",1
"591",66,1,1,0,0,26,1,"black",1
"592",91,1,1,0,0,19,0,"black",1
"593",50,1,0,1,0,80,0,"white",0
"594",0,1,0,0,1,37,1,"hispanic",1
"595",0,0,0,0,1,40,1,"hispanic",1
